,Unnamed: 0,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN,name
0,0,PG10002,1,The House on the Borderland,"Hodgson, William Hope",1877,1918.0,['en'],824,{'Science fiction'},,The House on the Borderland,Hodgson,http://www.wikidata.org/entity/Q740473,http://www.wikidata.org/entity/Q919277,1877,William Hope Hodgson,Q740473,Q919277,William Hope Hodgson
1,1,PG10005,"1, when only first half of the title","A Voyage to the Moon: With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians","Tucker, George",1775,1861.0,['en'],42,"{'Space flight to the moon -- Fiction', 'Science fiction'}",,A Voyage to the Moon,Tucker,http://www.wikidata.org/entity/Q20543676,http://www.wikidata.org/entity/Q1508382,1775,George Tucker,Q20543676,Q1508382,George Tucker
2,2,PG10008,1,The Mystery,"Adams, Samuel Hopkins",1871,1958.0,['en'],27,{'Science fiction'},,The Mystery,Adams,http://www.wikidata.org/entity/Q95981569,http://www.wikidata.org/entity/Q185406,1871,Samuel Hopkins Adams,Q95981569,Q185406,Samuel Hopkins Adams
3,3,PG10046,1,Salute to Adventurers,"Buchan, John",1875,1940.0,['en'],24,"{'Virginia -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Jamestown (Va.) -- Fiction', 'Scottish Americans -- Virginia -- Fiction', 'Historical fiction', 'Glasgow (Scotland) -- Fiction'}",,Salute to Adventurers,Buchan,http://www.wikidata.org/entity/Q7406333,http://www.wikidata.org/entity/Q333004,1875,John Buchan,Q7406333,Q333004,John Buchan
4,4,PG10055,,Hamburgische Dramaturgie,"Lessing, Gotthold Ephraim",1729,1781.0,['de'],57,"{'Drama -- Technique', 'Aristotle, 384 BC-322 BC. Poetics'}",,Hamburgische Dramaturgie,Lessing,http://www.wikidata.org/entity/Q53585,http://www.wikidata.org/entity/Q34628,1729,Gotthold Ephraim Lessing,Q53585,Q34628,Gotthold Ephraim Lessing
5,5,PG10059,,Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856,1919.0,['en'],24,"{'Mystery and detective stories', 'Young women -- Social life and customs -- Juvenile fiction', 'Women authors -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family -- Juvenile fiction', 'Newspaper publishing -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces on Vacation,Baum,http://www.wikidata.org/entity/Q16385081,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q16385081,Q207544,L. Frank Baum
6,6,PG10084,,Kazan,"Curwood, James Oliver",1878,1927.0,['en'],98,"{'Wolfdogs -- Fiction', 'Dogs -- Fiction'}",,Kazan,Curwood,http://www.wikidata.org/entity/Q3497638,http://www.wikidata.org/entity/Q468156,1878,James Oliver Curwood,Q3497638,Q468156,James Oliver Curwood
7,7,PG10123,,Aunt Jane's Nieces,"Baum, L. Frank (Lyman Frank)",1856,1919.0,['en'],35,"{'Families -- Economic aspects -- Juvenile fiction', 'Family -- Juvenile fiction', 'Aunts -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces,Baum,http://www.wikidata.org/entity/Q4821956,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q4821956,Q207544,L. Frank Baum
8,8,PG10124,,Aunt Jane's Nieces and Uncle John,"Baum, L. Frank (Lyman Frank)",1856,1919.0,['en'],40,"{'California -- Juvenile fiction', 'Cousins -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family -- Juvenile fiction', 'Western stories', 'Brigands and robbers -- Juvenile fiction', 'West (U.S.) -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Rocky Mountains -- Description and travel -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction'}",,Aunt Jane's Nieces and Uncle John,Baum,http://www.wikidata.org/entity/Q4821962,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q4821962,Q207544,L. Frank Baum
9,9,PG1013,,The First Men in the Moon,"Wells, H. G. (Herbert George)",1866,1946.0,['en'],168,"{'Utopian fiction', 'Satire', 'Science fiction', 'Imperialism -- Fiction', 'Utopias -- Fiction', 'Space flight to the moon -- Fiction', 'Moon -- Fiction'}",,The First Men in the Moon,Wells,http://www.wikidata.org/entity/Q1218232,http://www.wikidata.org/entity/Q42511,1866,H. G. Wells,Q1218232,Q42511,H. G. Wells
10,10,PG10148,,The Merry Adventures of Robin Hood,"Pyle, Howard",1853,1911.0,['en'],1346,"{'Folklore -- England', 'Robin Hood (Legendary character) -- Legends'}",,The Merry Adventures of Robin Hood,Pyle,http://www.wikidata.org/entity/Q7751092,http://www.wikidata.org/entity/Q525713,1853,Howard Pyle,Q7751092,Q525713,Howard Pyle
11,14,PG10149,,"Home as Found: Sequel to ""Homeward Bound""","Cooper, James Fenimore",1789,1851.0,['en'],24,{'United States -- Social life and customs -- Fiction'},,Home as Found,Cooper,http://www.wikidata.org/entity/Q65051190,http://www.wikidata.org/entity/Q167856,1789,James Fenimore Cooper,Q65051190,Q167856,James Fenimore Cooper
12,15,PG10150,,Dracula's Guest,"Stoker, Bram",1847,1912.0,['en'],1463,"{'Short stories', 'Horror tales', 'Gothic fiction'}",,Dracula's Guest,Stoker,http://www.wikidata.org/entity/Q20726020,http://www.wikidata.org/entity/Q36184,1847,Bram Stoker,Q20726020,Q36184,Bram Stoker
13,16,PG10165,,Across the Zodiac: The Story of a Wrecked Record,"Greg, Percy",1836,1889.0,['en'],87,{'Science fiction'},,Across the Zodiac,Greg,http://www.wikidata.org/entity/Q4676516,http://www.wikidata.org/entity/Q7167372,1836,Percy Greg,Q4676516,Q7167372,Percy Greg
14,17,PG1017,,The Soul of Man under Socialism,"Wilde, Oscar",1854,1900.0,['en'],506,{'Socialism'},,The Soul of Man under Socialism,Wilde,http://www.wikidata.org/entity/Q1196990,http://www.wikidata.org/entity/Q30875,1854,Oscar Wilde,Q1196990,Q30875,Oscar Wilde
17,30,PG1023,,Bleak House,"Dickens, Charles",1812,1870.0,['en'],2537,"{'Domestic fiction', 'Young women -- Fiction', 'Inheritance and succession -- Fiction', 'Guardian and ward -- Fiction', 'Illegitimate children -- Fiction', 'Bildungsromans', 'Legal stories', 'London (England) -- Fiction'}",,Bleak House,Dickens,http://www.wikidata.org/entity/Q883305,http://www.wikidata.org/entity/Q5686,1812,Charles Dickens,Q883305,Q5686,Charles Dickens
18,31,PG1024,,The Wrecker,"Osbourne, Lloyd",1868,1947.0,['en'],172,"{'Avarice -- Fiction', 'Shipwrecks -- Fiction', 'Treasure troves -- Fiction'}",,The Wrecker,Osbourne,http://www.wikidata.org/entity/Q2753955,http://www.wikidata.org/entity/Q1387643,1868,Lloyd Osbourne,Q2753955,Q1387643,Lloyd Osbourne
19,32,PG1026,,The Diary of a Nobody,"Grossmith, George",1847,1912.0,['en'],564,"{'Middle class -- Fiction', 'Men -- England -- Fiction', 'England -- Fiction', 'Humorous stories', 'Suburban life -- Fiction', 'Diary fiction'}",,The Diary of a Nobody,Grossmith,http://www.wikidata.org/entity/Q864150,http://www.wikidata.org/entity/Q1564825,1847,George Grossmith,Q864150,Q1564825,George Grossmith
20,36,PG1027,,The Lone Star Ranger: A Romance of the Border,"Grey, Zane",1872,1939.0,['en'],264,"{'Mexican-American Border Region -- Fiction', 'Western stories'}",,The Lone Star Ranger,Grey,http://www.wikidata.org/entity/Q16386740,http://www.wikidata.org/entity/Q146763,1872,Zane Grey,Q16386740,Q146763,Zane Grey
21,37,PG1028,,The Professor,"Brontë, Charlotte",1816,1855.0,['en'],404,"{'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Belgium -- Social life and customs -- 19th century -- Fiction', 'Brussels (Belgium) -- Fiction', 'British -- Belgium -- Fiction', 'Women teachers -- Fiction'}",,The Professor,Brontë,http://www.wikidata.org/entity/Q762203,http://www.wikidata.org/entity/Q127332,1816,Charlotte Brontë,Q762203,Q127332,Charlotte Brontë
22,38,PG10290,,Confession de Minuit: Roman,"Duhamel, Georges",1884,1966.0,['fr'],115,{'French fiction -- 20th century'},,Confession de Minuit,Duhamel,http://www.wikidata.org/entity/Q107104468,http://www.wikidata.org/entity/Q20733,1884,Georges Duhamel,Q107104468,Q20733,Georges Duhamel
23,39,PG10291,,In the Fourth Year: Anticipations of a World Peace,"Wells, H. G. (Herbert George)",1866,1946.0,['en'],24,"{'World War, 1914-1918 -- Peace', 'Democracy', 'League of Nations'}",,In the Fourth Year,Wells,http://www.wikidata.org/entity/Q6012178,http://www.wikidata.org/entity/Q42511,1866,H. G. Wells,Q6012178,Q42511,H. G. Wells
24,40,PG1029,,The Night-Born,"London, Jack",1876,1916.0,['en'],225,"{'Short stories', 'Adventure and adventurers -- Fiction'}",,The Night-Born,London,http://www.wikidata.org/entity/Q78289676,http://www.wikidata.org/entity/Q45765,1876,Jack London,Q78289676,Q45765,Jack London
25,41,PG1032,,The Pupil,"James, Henry",1843,1916.0,['en'],163,{'Fiction'},,The Pupil,James,http://www.wikidata.org/entity/Q7758766,http://www.wikidata.org/entity/Q170509,1843,Henry James,Q7758766,Q170509,Henry James
26,42,PG10337,,Lady into Fox,"Garnett, David",1892,1981.0,['en'],114,"{'Metamorphosis -- Fiction', 'Fantasy fiction, English', 'Foxes -- Fiction'}",,Lady into Fox,Garnett,http://www.wikidata.org/entity/Q6470665,http://www.wikidata.org/entity/Q704860,1892,David Garnett,Q6470665,Q704860,David Garnett
27,43,PG10339,,An Antarctic Mystery,"Verne, Jules",1828,1905.0,['en'],196,{'Antarctica -- Discovery and exploration -- Fiction'},,An Antarctic Mystery,Verne,http://www.wikidata.org/entity/Q1212137,http://www.wikidata.org/entity/Q33977,1828,Jules Verne,Q1212137,Q33977,Jules Verne
29,45,PG1034,,Poems,"Owen, Wilfred",1893,1918.0,['en'],315,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry', 'War poetry'}",,Poems,Owen,http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893,Wilfred Owen,Q19038860,Q212719,Wilfred Owen
30,77,PG10354,,Die Laune des Verliebten: Ein Schäferspiel in Versen und einem Akt,"Goethe, Johann Wolfgang von",1749,1832.0,['de'],21,"{'Pastoral poetry', 'German poetry -- 18th century'}",,Die Laune des Verliebten,Goethe,http://www.wikidata.org/entity/Q1214293,http://www.wikidata.org/entity/Q5879,1749,Johann Wolfgang von Goethe,Q1214293,Q5879,Johann Wolfgang von Goethe
31,78,PG10359,,Aunt Jane's Nieces at Millville,"Baum, L. Frank (Lyman Frank)",1856,1919.0,['en'],26,"{'Stocks -- Juvenile fiction', 'Mystery and detective stories', 'Young women -- Social life and customs -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family life -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces at Millville,Baum,http://www.wikidata.org/entity/Q4821963,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q4821963,Q207544,L. Frank Baum
32,79,PG1035,,The Man Against the Sky: A Book of Poems,"Robinson, Edwin Arlington",1869,1935.0,['en'],109,{'American poetry'},,The Man Against the Sky,Robinson,http://www.wikidata.org/entity/Q30918305,http://www.wikidata.org/entity/Q1294394,1869,Edwin Arlington Robinson,Q30918305,Q1294394,Edwin Arlington Robinson
33,80,PG10363,,The Bravo: A Tale,"Cooper, James Fenimore",1789,1851.0,['en'],47,{'Venice (Italy) -- Fiction'},,The Bravo,Cooper,http://www.wikidata.org/entity/Q4095607,http://www.wikidata.org/entity/Q167856,1789,James Fenimore Cooper,Q4095607,Q167856,James Fenimore Cooper
34,81,PG10364,,Yeast: a Problem,"Kingsley, Charles",1819,1875.0,['en'],29,"{'Rural poor -- England -- Fiction', 'England -- Social conditions -- 19th century -- Fiction', 'Country life -- England -- Fiction'}",,Yeast,Kingsley,http://www.wikidata.org/entity/Q17059277,http://www.wikidata.org/entity/Q353238,1819,Charles Kingsley,Q17059277,Q353238,Charles Kingsley
35,83,PG10365,,Precaution: A Novel,"Cooper, James Fenimore",1789,1851.0,['en'],20,{'England -- Social life and customs -- Fiction'},,Precaution,Cooper,http://www.wikidata.org/entity/Q4864841,http://www.wikidata.org/entity/Q167856,1789,James Fenimore Cooper,Q4864841,Q167856,James Fenimore Cooper
36,84,PG10368,,The Vizier of the Two-Horned Alexander,"Stockton, Frank R.",1834,1902.0,['en'],69,"{'Adventure stories', 'Immortalism -- Fiction', 'Fantasy fiction'}",,The Vizier of the Two-Horned Alexander,Stockton,http://www.wikidata.org/entity/Q124090548,http://www.wikidata.org/entity/Q1444002,1834,Frank R. Stockton,Q124090548,Q1444002,Frank R. Stockton
37,85,PG1036,,Joe Wilson and His Mates,"Lawson, Henry",1867,1922.0,['en'],132,"{'Historical fiction', 'Frontier and pioneer life -- Australia -- Fiction', 'Australia -- Fiction'}",,Joe Wilson and His Mates,Lawson,http://www.wikidata.org/entity/Q28401667,http://www.wikidata.org/entity/Q453577,1867,Henry Lawson,Q28401667,Q453577,Henry Lawson
38,86,PG10373,,The Middle Temple Murder,"Fletcher, J. S. (Joseph Smith)",1863,1935.0,['en'],111,{'Detective and mystery stories'},,The Middle Temple Murder,Fletcher,http://www.wikidata.org/entity/Q124098237,http://www.wikidata.org/entity/Q548040,1863,J. S. Fletcher,Q124098237,Q548040,J. S. Fletcher
39,90,PG10376,,American Indian Stories,Zitkala-Sa,1876,1938.0,['en'],1289,"{'Zitkala-Sa, 1876-1938', 'Yankton women -- Biography', 'Yankton Indians -- Government relations', 'Yankton Indians -- Social conditions'}",,American Indian Stories,Zitkala-Sa,http://www.wikidata.org/entity/Q4744113,http://www.wikidata.org/entity/Q2668090,1876,Zitkala-Sa,Q4744113,Q2668090,Zitkala-Sa
40,91,PG10378,,Autobiography,"Mill, John Stuart",1806,1873.0,['en'],440,"{'Philosophers -- England -- Biography', 'Mill, John Stuart, 1806-1873'}",,Autobiography,Mill,http://www.wikidata.org/entity/Q19053628,http://www.wikidata.org/entity/Q50020,1806,John Stuart Mill,Q19053628,Q50020,John Stuart Mill
41,93,PG10381,,The History of a Crime: The Testimony of an Eye-Witness,"Hugo, Victor",1802,1885.0,['en'],535,{'France -- History -- 1789-1900'},,The History of a Crime,Hugo,http://www.wikidata.org/entity/Q3136618,http://www.wikidata.org/entity/Q535,1802,Victor Hugo,Q3136618,Q535,Victor Hugo
42,94,PG103,,Around the World in Eighty Days,"Verne, Jules",1828,1905.0,['en'],4460,"{'Adventure stories', 'Voyages around the world -- Fiction'}",,Around the World in Eighty Days,Verne,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q33977,1828,Jules Verne,Q1219561,Q33977,Jules Verne
43,98,PG10425,,Torquato Tasso: Ein Schauspiel,"Goethe, Johann Wolfgang von",1749,1832.0,['de'],84,"{'Tasso, Torquato, 1544-1595 -- Drama'}",,Torquato Tasso,Goethe,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q5879,1749,Johann Wolfgang von Goethe,Q1432001,Q5879,Johann Wolfgang von Goethe
44,102,PG10429,,Miss Lulu Bett,"Gale, Zona",1874,1938.0,['en'],28,"{'Single women -- Fiction', 'Feminist fiction', 'Middle West -- Fiction', 'Housekeepers -- Fiction', 'Divorced women -- Fiction', 'Self-realization -- Fiction'}",,Miss Lulu Bett,Gale,http://www.wikidata.org/entity/Q246436,http://www.wikidata.org/entity/Q219829,1874,Zona Gale,Q246436,Q219829,Zona Gale
45,103,PG10429,,Miss Lulu Bett,"Gale, Zona",1874,1938.0,['en'],28,"{'Single women -- Fiction', 'Feminist fiction', 'Middle West -- Fiction', 'Housekeepers -- Fiction', 'Divorced women -- Fiction', 'Self-realization -- Fiction'}",,Miss Lulu Bett,Gale,http://www.wikidata.org/entity/Q6876996,http://www.wikidata.org/entity/Q219829,1874,Zona Gale,Q6876996,Q219829,Zona Gale
46,104,PG10429,,Miss Lulu Bett,"Gale, Zona",1874,1938.0,['en'],28,"{'Single women -- Fiction', 'Feminist fiction', 'Middle West -- Fiction', 'Housekeepers -- Fiction', 'Divorced women -- Fiction', 'Self-realization -- Fiction'}",,Miss Lulu Bett,Gale,http://www.wikidata.org/entity/Q74752258,http://www.wikidata.org/entity/Q219829,1874,Zona Gale,Q74752258,Q219829,Zona Gale
47,105,PG10434,,"Wyandotté; Or, The Hutted Knoll: A Tale","Cooper, James Fenimore",1789,1851.0,['en'],17,"{'Otsego County (N.Y.) -- Fiction', 'New York (State) -- History -- Revolution, 1775-1783 -- Fiction', 'War stories', 'Historical fiction', 'Tuscarora Indians -- Fiction'}",,Wyandotté,Cooper,http://www.wikidata.org/entity/Q19239942,http://www.wikidata.org/entity/Q167856,1789,James Fenimore Cooper,Q19239942,Q167856,James Fenimore Cooper
48,106,PG1044,,Extract from Captain Stormfield's Visit to Heaven,"Twain, Mark",1835,1910.0,['en'],240,"{'Voyages, Imaginary', 'Satire', 'Ship captains -- Fiction', 'Religious fiction', 'Heaven -- Fiction'}",,Extract from Captain Stormfield's Visit to Heaven,Twain,http://www.wikidata.org/entity/Q1152137,http://www.wikidata.org/entity/Q7245,1835,Mark Twain,Q1152137,Q7245,Mark Twain
49,107,PG1045,,Venus and Adonis,"Shakespeare, William",1564,1616.0,['en'],179,"{'Venus (Roman deity) -- Poetry', 'Adonis (Greek deity) -- Poetry'}",,Venus and Adonis,Shakespeare,http://www.wikidata.org/entity/Q1066765,http://www.wikidata.org/entity/Q692,1564,William Shakespeare,Q1066765,Q692,William Shakespeare
50,108,PG10468,,Aunt Jane's Nieces in Society,"Baum, L. Frank (Lyman Frank)",1856,1919.0,['en'],28,"{'Mystery and detective stories', 'Social classes -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction', 'Family -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'New York (N.Y.) -- Juvenile fiction', 'Debutantes -- Juvenile fiction', 'Upper class -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces in Society,Baum,http://www.wikidata.org/entity/Q4821965,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q4821965,Q207544,L. Frank Baum
51,109,PG1047,,The New Machiavelli,"Wells, H. G. (Herbert George)",1866,1946.0,['en'],174,"{'Great Britain -- Politics and government -- Fiction', 'Adultery -- Fiction', 'Man-woman relationships -- Fiction', 'Political fiction'}",,The New Machiavelli,Wells,http://www.wikidata.org/entity/Q10381652,http://www.wikidata.org/entity/Q42511,1866,H. G. Wells,Q10381652,Q42511,H. G. Wells
52,110,PG10481,,Rautatie,"Aho, Juhani",1861,1921.0,['fi'],28,{'Fiction'},,Rautatie,Aho,http://www.wikidata.org/entity/Q7296258,http://www.wikidata.org/entity/Q348623,1861,Juhani Aho,Q7296258,Q348623,Juhani Aho
53,114,PG1051,,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,"Carlyle, Thomas",1795,1881.0,['en'],745,"{'Satire', 'Germany -- Fiction', 'Didactic fiction', 'Philosophers -- Fiction', 'Conduct of life -- Fiction', 'Humorous stories', 'Clothing and dress -- Fiction'}",,Sartor Resartus,Carlyle,http://www.wikidata.org/entity/Q1134140,http://www.wikidata.org/entity/Q151403,1795,Thomas Carlyle,Q1134140,Q151403,Thomas Carlyle
55,119,PG10545,,"The Sea Lions; Or, The Lost Sealers","Cooper, James Fenimore",1789,1851.0,['en'],27,"{'Sea stories', 'Sealers (Persons) -- Fiction'}",,The Sea Lions,Cooper,http://www.wikidata.org/entity/Q23307980,http://www.wikidata.org/entity/Q167856,1789,James Fenimore Cooper,Q23307980,Q167856,James Fenimore Cooper
57,122,PG1056,,Martin Eden,"London, Jack",1876,1916.0,['en'],1052,"{'Autobiographical fiction', 'Authors -- Fiction', 'San Francisco (Calif.) -- Fiction', 'Working class -- Fiction', 'Young men -- Fiction', 'Bildungsromans'}",,Martin Eden,London,http://www.wikidata.org/entity/Q1317839,http://www.wikidata.org/entity/Q45765,1876,Jack London,Q1317839,Q45765,Jack London
58,123,PG10581,,Uncle Bernac: A Memory of the Empire,"Doyle, Arthur Conan",1859,1930.0,['en'],23,"{'France -- History -- Consulate and First Empire, 1799-1815 -- Fiction'}",,Uncle Bernac,Doyle,http://www.wikidata.org/entity/Q48748249,http://www.wikidata.org/entity/Q35610,1859,Arthur Conan Doyle,Q48748249,Q35610,Arthur Conan Doyle
59,124,PG1058,,The Mirror of the Sea,"Conrad, Joseph",1857,1924.0,['en'],282,"{'Seafaring life', 'Conrad, Joseph, 1857-1924 -- Travel'}",,The Mirror of the Sea,Conrad,http://www.wikidata.org/entity/Q18635229,http://www.wikidata.org/entity/Q82925,1857,Joseph Conrad,Q18635229,Q82925,Joseph Conrad
60,126,PG1059,,The World Set Free,"Wells, H. G. (Herbert George)",1866,1946.0,['en'],515,"{'Imaginary wars and battles -- Fiction', 'War stories', 'Nuclear warfare -- Fiction'}",,The World Set Free,Wells,http://www.wikidata.org/entity/Q5051290,http://www.wikidata.org/entity/Q42511,1866,H. G. Wells,Q5051290,Q42511,H. G. Wells
61,127,PG105,,Persuasion,"Austen, Jane",1775,1817.0,['en'],5796,"{'Love stories', 'Ship captains -- Fiction', 'Motherless families -- Fiction', 'Young women -- Fiction', 'Psychological fiction', 'First loves -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Dysfunctional families -- Fiction', 'Rejection (Psychology) -- Fiction', 'Regency fiction'}",,Persuasion,Austen,http://www.wikidata.org/entity/Q333179,http://www.wikidata.org/entity/Q36322,1775,Jane Austen,Q333179,Q36322,Jane Austen
62,136,PG1063,,The Cask of Amontillado,"Poe, Edgar Allan",1809,1849.0,['en'],1608,"{'Revenge -- Fiction', 'Horror tales, American'}",,The Cask of Amontillado,Poe,http://www.wikidata.org/entity/Q1130590,http://www.wikidata.org/entity/Q16867,1809,Edgar Allan Poe,Q1130590,Q16867,Edgar Allan Poe
63,137,PG1064,,The Masque of the Red Death,"Poe, Edgar Allan",1809,1849.0,['en'],2675,"{'Horror tales, American'}",,The Masque of the Red Death,Poe,http://www.wikidata.org/entity/Q766086,http://www.wikidata.org/entity/Q16867,1809,Edgar Allan Poe,Q766086,Q16867,Edgar Allan Poe
64,138,PG10658,,Hilda Lessways,"Bennett, Arnold",1867,1931.0,['en'],80,"{'Staffordshire (England) -- Fiction', 'Young women -- Fiction', 'Man-woman relationships -- Fiction', 'Mothers and daughters -- Fiction'}",,Hilda Lessways,Bennett,http://www.wikidata.org/entity/Q42185117,http://www.wikidata.org/entity/Q314158,1867,Arnold Bennett,Q42185117,Q314158,Arnold Bennett
65,139,PG1065,,The Raven,"Poe, Edgar Allan",1809,1849.0,['en'],520,"{'Ravens -- Poetry', 'Fantasy poetry, American'}",,The Raven,Poe,http://www.wikidata.org/entity/Q22726,http://www.wikidata.org/entity/Q16867,1809,Edgar Allan Poe,Q22726,Q16867,Edgar Allan Poe
66,148,PG10662,,The Night Land,"Hodgson, William Hope",1877,1918.0,['en'],480,{'Science fiction'},,The Night Land,Hodgson,http://www.wikidata.org/entity/Q3824593,http://www.wikidata.org/entity/Q919277,1877,William Hope Hodgson,Q3824593,Q919277,William Hope Hodgson
67,149,PG10684,,A History of Freedom of Thought,"Bury, J. B. (John Bagnell)",1861,1927.0,['en'],179,"{'Rationalism -- History', 'Free thought -- History'}",,A History of Freedom of Thought,Bury,http://www.wikidata.org/entity/Q3974139,http://www.wikidata.org/entity/Q502912,1861,J. B. Bury,Q3974139,Q502912,J. B. Bury
68,150,PG106,,Jungle Tales of Tarzan,"Burroughs, Edgar Rice",1875,1950.0,['en'],400,"{'Jungles -- Fiction', 'Adventure stories', 'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Apes -- Fiction', 'Africa -- Fiction'}",,Jungle Tales of Tarzan,Burroughs,http://www.wikidata.org/entity/Q6312905,http://www.wikidata.org/entity/Q148234,1875,Edgar Rice Burroughs,Q6312905,Q148234,Edgar Rice Burroughs
69,151,PG10701,,"The History of Rome, Book I: The Period Anterior to the Abolition of the Monarchy","Mommsen, Theodor",1817,1903.0,['en'],81,{'Rome -- History'},,The History of Rome,Mommsen,http://www.wikidata.org/entity/Q1500229,http://www.wikidata.org/entity/Q25351,1817,Theodor Mommsen,Q1500229,Q25351,Theodor Mommsen
70,191,PG10720,,Doctor Pascal,"Zola, Émile",1840,1902.0,['en'],103,{'France -- Social life and customs -- 19th century -- Fiction'},,Doctor Pascal,Zola,http://www.wikidata.org/entity/Q663632,http://www.wikidata.org/entity/Q504,1840,Émile Zola,Q663632,Q504,Émile Zola
71,192,PG10736,,Children of the Frost,"London, Jack",1876,1916.0,['en'],255,"{'Adventure stories', 'Indians of North America -- Fiction', 'Short stories, American'}",,Children of the Frost,London,http://www.wikidata.org/entity/Q3232379,http://www.wikidata.org/entity/Q45765,1876,Jack London,Q3232379,Q45765,Jack London
72,194,PG10740,,The Way of Peace,"Allen, James",1864,1912.0,['en'],144,"{'New Thought', 'Meditations', 'Conduct of life'}",,The Way of Peace,Allen,http://www.wikidata.org/entity/Q7773905,http://www.wikidata.org/entity/Q1371577,1864,James Allen,Q7773905,Q1371577,James Allen
74,196,PG10745,,The Story of the Champions of the Round Table,"Pyle, Howard",1853,1911.0,['en'],97,"{'Perceval (Legendary character) -- Legends', 'Tristan (Legendary character) -- Legends', 'Lancelot (Legendary character) -- Legends', 'Arthurian romances -- Adaptations', 'Knights and knighthood -- Folklore', 'Arthur, King -- Legends'}",,The Story of the Champions of the Round Table,Pyle,http://www.wikidata.org/entity/Q19896202,http://www.wikidata.org/entity/Q525713,1853,Howard Pyle,Q19896202,Q525713,Howard Pyle
75,197,PG10746,,Boule de Suif,"Maupassant, Guy de",1850,1893.0,['fr'],239,"{'Short stories, French', 'France -- Social life and customs -- Fiction'}",,Boule de Suif,Maupassant,http://www.wikidata.org/entity/Q63971,http://www.wikidata.org/entity/Q9327,1850,Guy de Maupassant,Q63971,Q9327,Guy de Maupassant
76,198,PG10747,,Chantecler: Play in Four Acts,"Rostand, Edmond",1868,1918.0,['en'],40,"{'Roosters -- Drama', 'Birds -- Drama'}",,Chantecler,Rostand,http://www.wikidata.org/entity/Q696502,http://www.wikidata.org/entity/Q202749,1868,Edmond Rostand,Q696502,Q202749,Edmond Rostand
77,199,PG1074,,The Sea-Wolf,"London, Jack",1876,1916.0,['en'],1195,"{'Arctic regions -- Fiction', 'Ship captains -- Fiction', 'Sealers (Persons) -- Fiction', 'Sea stories', 'Sealing ships -- Fiction'}",,The Sea-Wolf,London,http://www.wikidata.org/entity/Q1196857,http://www.wikidata.org/entity/Q45765,1876,Jack London,Q1196857,Q45765,Jack London
78,200,PG1075,,The Strength of the Strong,"London, Jack",1876,1916.0,['en'],132,{'Socialism -- Fiction'},,The Strength of the Strong,London,http://www.wikidata.org/entity/Q19100202,http://www.wikidata.org/entity/Q45765,1876,Jack London,Q19100202,Q45765,Jack London
79,201,PG1075,,The Strength of the Strong,"London, Jack",1876,1916.0,['en'],132,{'Socialism -- Fiction'},,The Strength of the Strong,London,http://www.wikidata.org/entity/Q30731174,http://www.wikidata.org/entity/Q45765,1876,Jack London,Q30731174,Q45765,Jack London
80,202,PG10762,,Impressions of Theophrastus Such,"Eliot, George",1819,1880.0,['en'],78,"{'Character sketches', 'England -- Fiction', 'Authors -- Fiction'}",,Impressions of Theophrastus Such,Eliot,http://www.wikidata.org/entity/Q6007633,http://www.wikidata.org/entity/Q131333,1819,George Eliot,Q6007633,Q131333,George Eliot
